timestamp,correct
1743428558905.0,False
1743428559984.0,False
1743428560498.0,False
1743428561122.0,False
1743428562134.0,True
1743428568215.0,False
1743428568732.0,False
1743428569152.0,False
1743428569634.0,False
1743428570137.0,False
1743428570705.0,True
1743428572872.0,False
1743428573469.0,False
1743428575621.0,False
1743428576054.0,False
1743428580185.0,False
1743428580788.0,False
1743428581205.0,False
1743428581624.0,False
1743428582087.0,False
1743428582550.0,True
1743428587358.0,False
1743428587876.0,False
1743428588392.0,False
1743428588854.0,False
1743428589353.0,False
1743428589844.0,True
1743428593648.0,False
1743428594066.0,False
1743428594639.0,False
1743428595110.0,False
1743428595524.0,False
1743428595974.0,True
