timestamp,correct,letter
1743428916729.0,False,H
1743428917473.0,True,O
1743428921840.0,False,H
1743428922307.0,True,O
1743428923125.0,True,P
1743428923547.0,True,L
1743428924141.0,True,A
1743428924772.0,True,N
1743428925225.0,True,E
1743428925761.0,True,T
1743428930467.0,True,G
1743428931088.0,True,U
1743428931827.0,True,I
1743428932319.0,True,T
1743428933229.0,True,A
1743428933658.0,True,R
1743428937798.0,True,O
1743428938483.0,True,C
1743428938866.0,True,E
1743428939359.0,True,A
1743428940396.0,True,N
1743428958640.0,True,C
1743428959117.0,True,A
1743428959618.0,True,S
1743428960138.0,True,T
1743428960593.0,True,L
1743428961172.0,True,E
1743428967367.0,True,M
1743428967887.0,True,I
1743428968376.0,True,R
1743428968847.0,True,R
1743428969255.0,True,O
1743428969657.0,True,R
